Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-11-14,01:00:00,148.988,149.056,148.978,149.044,0,0
2017-11-14,02:00:00,149.06,149.221,149.021,149.12,0,0
2017-11-14,03:00:00,149.107,149.205,149.096,149.151,0,0
2017-11-14,04:00:00,149.151,149.189,149.011,149.047,0,0
2017-11-14,05:00:00,149.044,149.114,148.995,149.025,0,0
2017-11-14,06:00:00,149.025,149.088,148.988,149.074,0,0
2017-11-14,07:00:00,149.073,149.141,149.049,149.082,0,0
2017-11-14,08:00:00,149.078,149.114,148.873,148.929,0,0
2017-11-14,09:00:00,148.947,149.065,148.812,148.941,0,0
2017-11-14,10:00:00,148.955,149.437,148.931,149.364,0,0
2017-11-14,11:00:00,149.361,149.387,148.794,149.012,0,0
2017-11-14,12:00:00,148.997,149.048,148.792,148.824,0,0
2017-11-14,13:00:00,148.821,149.113,148.789,149.03,0,0
2017-11-14,14:00:00,149.022,149.022,148.774,148.844,0,0
2017-11-14,15:00:00,148.844,148.863,148.659,148.826,0,0
2017-11-14,16:00:00,148.822,148.835,148.627,148.732,0,0
2017-11-14,17:00:00,148.73,148.956,148.625,148.838,0,0
2017-11-14,18:00:00,148.84,149.025,148.752,149.016,0,0
2017-11-14,19:00:00,149.01,149.546,149.007,149.477,0,0
2017-11-14,20:00:00,149.468,149.485,149.306,149.333,0,0
2017-11-14,21:00:00,149.33,149.365,149.24,149.29,0,0
2017-11-14,22:00:00,149.292,149.312,149.222,149.297,0,0
2017-11-14,23:00:00,149.302,149.383,149.298,149.368,0,0
2017-11-14,23:59:00,149.36,149.377,149.269,149.35,0,0
2017-11-15,01:00:00,149.348,149.353,149.205,149.213,0,0
2017-11-15,02:00:00,149.228,149.323,149.14,149.291,0,0
2017-11-15,03:00:00,149.296,149.296,148.757,148.788,0,0
2017-11-15,04:00:00,148.791,148.791,148.459,148.729,0,0
2017-11-15,05:00:00,148.724,148.812,148.651,148.698,0,0
2017-11-15,06:00:00,148.694,148.8,148.68,148.789,0,0
2017-11-15,07:00:00,148.784,148.854,148.719,148.737,0,0
2017-11-15,08:00:00,148.731,148.91,148.704,148.786,0,0
2017-11-15,09:00:00,148.79,148.983,148.742,148.819,0,0
2017-11-15,10:00:00,148.817,148.964,148.616,148.912,0,0
2017-11-15,11:00:00,148.922,149.009,148.129,148.242,0,0
2017-11-15,12:00:00,148.212,148.615,148.16,148.353,0,0
2017-11-15,13:00:00,148.384,148.591,148.347,148.453,0,0
2017-11-15,14:00:00,148.439,148.504,148.209,148.477,0,0
2017-11-15,15:00:00,148.481,148.564,148.291,148.311,0,0
2017-11-15,16:00:00,148.314,148.592,148.267,148.31,0,0
2017-11-15,17:00:00,148.311,148.991,148.306,148.853,0,0
2017-11-15,18:00:00,148.852,149.005,148.809,148.95,0,0
