############################################################### DATA TO FOLLOW ########################################
Result | Result per Trans | Trans Cnt | Signal Type | Strategy Type | Positive Trans Cnt | Positive Trans Pct | Eq in Str | JSON | Transaction Map
-12.124|-0.147900|82|False|SELL|48|0.585400|((TF_max(10,1) > TF_avg_open(3,2))or(TF_high(5) > TF_high(9)))|{"name": "or", "children": [{"name": "(TF_max(10,1) > TF_avg_open(3,2))"}, {"name": "(TF_high(5) > TF_high(9))"}]}|0000000000000010000000000000000001000000000000000001110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000110000000001000000100000000000010100000000000000000000000000000000000000000000000000000000000000001000010000000000000000000010000000000000000000000000000001000000000000000000100000000000000000101000000000000000000000000010000000000000001000000000100000000000001000000000000000000000000000000000100000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000111000010000000000100000000000000011000000000010000000000000010000000000000000000000000000000100000000000000000001000000000000000000000000000000000000010000000000010000000000000000000100001000000000000000000010000000000000000000000000000010000000000000100000000000010000000000000000001100000000000000000010000000010000100000001000000010000000000000000010000000000000000011000000000000000000000000000000000000000000110010000000000000000000000000000000010000000000000000000000000000000000000000100000000000000000000000000000000000000000000000011000000000000000110000010000000000000000000000000000000000010000000000000000000000000100000010100010000001000000000000000000000000000000000000000000001000000000000000000000000000000000000000110000000000000000000000000000000000000000000000000100000000111000000100000000000000000000000000000000000000000000000000000000100000000000000000000010000010
-11.975|-0.147800|81|False|SELL|54|0.666700|((TF_high(5) > TF_high(9))or(TF_max(7,2) > TF_low(1)))|{"name": "or", "children": [{"name": "(TF_high(5) > TF_high(9))"}, {"name": "(TF_max(7,2) > TF_low(1))"}]}|0000000000000010000000000000000000000010000000000001110000000100000000000000000000000000000000010000000001000000000000000000000000000000000000000000000000000000000000000000000110000001000000000100000000000010000000000000010000000000000000010000000000000000000000000000000000000001000000000000000000010000110000000000000000000000000000000000000000000000000000000000000110000000010000000000000000000000001000000001000000000000000000000000000000001100000000100000000000000110000000000000000000000000100000000000010000001000000000100000000000010000000000000000000000000000100000000000000000000010000000100000000000001000000000000000000000000000000000000011100000000001000000000000000000000000000110000000000000000000000000000001000000000000001000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000001000000000000000000000000000000001000000100000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000001000000001000000000000000000000000000000001000000000000000000000000110000000000110000000000000000000000000000011000000000000001000000000100000011000000000001100000000000000000000000000000000110000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000101000000110000000000000000000000000000000010000000000000000001000000001100000000000000000000011
-10.345|-0.130900|79|True|SELL|45|0.569600|((TF_high(9) > TF_high(5))and(TF_close(2) > TF_max(5,6)))|{"name": "and", "children": [{"name": "(TF_high(9) > TF_high(5))"}, {"name": "(TF_close(2) > TF_max(5,6))"}]}|0000000000000010000000000000000001000000000000000001110000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000110000001000000000101000000000010000000000000010000000000000000000000000001000000000000000000000000000000000000000000000000010000000000000000001100000000000000000000000000000000000000000000000110000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000110000000000000000000000000000000000000011000000000000000000000000000001000000000000000000000000000100000000000000000000011000000000000000000001010000000011000000000011000000000000011100000000000000000000000000000100000000100000000000000000000000000000001000000000000000000000000000000000000000000000010000000100000010000000000000000000000000000000001000000000000000000000100000000000000000000000000000000000000001100000000001000000000000000000001000000100000000000000000000000000000000000011000000001000000000000000000000000000000000000000000000000100000000000000000000010000000000000000000000000000000000000001000000000000000000000000000000000000000000000000001000000000000000110000000000001000000000000000000000000000011000000000000001000000000100000011000000000001110000000000000000000000000000000000000000000000000000000000000000000000000000000000110000000000000000000000000000000000000000000010000000000000111000000110000000000000000000000000000000000000000000000000000000000000000000000000000000000011
-10.082|-0.130900|77|True|SELL|42|0.545500|((TF_max(6,6) < TF_max(3,1))and((TF_high(9) > TF_high(5))and(TF_avg_open(1,7) < TF_open(10))))|{"name": "and", "children": [{"name": "(TF_max(6,6) < TF_max(3,1))"}, {"name": "and", "children": [{"name": "(TF_high(9) > TF_high(5))"}, {"name": "(TF_avg_open(1,7) < TF_open(10))"}]}]}|0000000010000010000000000000000001000001000000000001100000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110000000000000000110000000000010000000000000000000000000000000000000000011000000000000000000000100000000000000001000000000010000010000000000001000000000000000000000000010000100000000000000000100000000000000000000000000000000000000000000000000000000000000000011000000000000000000000000000000000100000000000000000000000000000000000000010000000000000000100000000000010000000000000000000000000000000000000000000000000110000010000000000000001100000000010000000000010000000000000011000000000000000000000000100000100000000000000000100000000000000000000000000000000000000100000000000010000000000000000000000001100000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000001000000001000000000010000000000000100000001000001000000000000000000000000000000000000011000000000000000000000000000000000000000000000010000000000000000000000000000000010000000000000000000000000000000000000001100000001100000000000000000000000000000000000000010000000000000000110000000000110000000000000000000000000000011000000000000000000000000100000010000000000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000110000000000000000000000000000000000000000001000000000000000110000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000010
9.523|0.125300|76|True|BUY|47|0.618400|((TF_max(3,1) < TF_open(6))and(TF_close(1) > TF_high(5)))|{"name": "and", "children": [{"name": "(TF_max(3,1) < TF_open(6))"}, {"name": "(TF_close(1) > TF_high(5))"}]}|0100000000000000000000100000000000000000010000000000001000000000100000000000000000000000000000000010000000001000000000000010000000000000000000000000000000000000000000000000000000100000001000000000100000000000100000000000000110000000000000000010000000000000000000000000000001100000010000000000000000000000000100000000000000000000000100000100000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000001000000000100000000000000000000000000000001000000001100000000000100000001000000000100000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000010000000000000000000000000110000000000001000000000000000000000000000000000000000000010000000000000001000000000000000000001000000000000000000000000010000001000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000010000000000000000000110000001000000000000000000010000000000000000000000000000000000000010000000011000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000011000000011000000000000000000000000000000010000000010000000000000001100000000001000000000100000000000000000000100000000000000001000000000000000110000100000011000000000000000001000000000000000100000000000000000000000000000000000000000000000000100000000000000000000000000000000000001000000000001000000000100000000100000000000000000000010000000000000000000000000000001000000000000000000000000000000
-10.813|-0.121500|89|True|SELL|50|0.561800|((TF_low(3) > TF_avg_open(10,9))and(TF_high(9) > TF_high(5)))|{"name": "and", "children": [{"name": "(TF_low(3) > TF_avg_open(10,9))"}, {"name": "(TF_high(9) > TF_high(5))"}]}|0000000000000010000100000000000001000001000000000001010000000100000000000000000000000000000000010000000001000000000000000000000000010000000000000000000000000000100000000000000100000000000000000010000000000000000000000000010000000000000000000000000000000000000000000000000100000010000000001000000000010000100000000000000000000000011000000000000000000000000000000000000000000000011000000000000000000000001000000000000000000000000000000010100000001000000000100000000000000100000001000000001000000000110000000000000000000000000000100000000000000000000000000000000000000000100000000000000000000111000010000000000000000000000000011000000000010001000000000010000000000000000000000000000000000000000100000000001000010000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000010001000000000100000000000010000000000000000001100000001000000000010000000010000100000001000000010100000000000000000000000000000000011000000001000000000000000100000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000010000000000000000100000010000110000000000000000101000000000010000000000000001100000000100000011000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110000000000000000000000000000000000000000000000000000000000111000000100000000000000000000000000000000000000000000000000000000000001000000000000000000000010
11.249|0.121000|93|False|BUY|60|0.645200|((TF_low(9) < TF_low(8))or((TF_high(3) > TF_low(6))or(TF_max(7,6) < 124)))|{"name": "or", "children": [{"name": "(TF_low(9) < TF_low(8))"}, {"name": "or", "children": [{"name": "(TF_high(3) > TF_low(6))"}, {"name": "(TF_max(7,6) < 124)"}]}]}|0010000000000000000000011000001000000000000000000000000100000000010000000000001010000000000000000000000000000110000100000001100000000001000100101000000000000000000000000000000000100000000000000000010000000000000000000000000101110000000000000000110000000000000000000000000000000000001010000000000000000000000000000000000000000000000000000000100001000000000000000000000000000000000000000110001000000000000000000000000000000000000000000000000000000000000000000011100000000000000000000000000000001000000000000000000000000000000000000000000000000000100000000111001000000000000000011001000000000000000000000101000100000000000000000000000000000000000000000000000000000000000110101000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000001010000000000001000010000000000000010000000000000000000000010010000000000000000000000000000000000000000000000000000000000000000000000000000000110000000000000001100000000000000000000000000000000000000001000000100000000000000000000000000000000001000000000100000010010000000000000000000000000000000000000000000000010100001000110000000000000000000000000000000000000000000000001001000000101000000000000000000000000000000000000000000000000000000000000000000110000000000000000000110000000000000000000000000000000000000000000001100000000000000000001000000000010010000000000000000000000000000000000000000000000000000000000101100000000000000000000001000000000000000000000000000010000000100000000000
-10.248|-0.117800|87|False|SELL|45|0.517200|((TF_avg_open(9,2) > TF_open(9))or(TF_max(4,6) > TF_close(3)))|{"name": "or", "children": [{"name": "(TF_avg_open(9,2) > TF_open(9))"}, {"name": "(TF_max(4,6) > TF_close(3))"}]}|0000000000000000000000000000000000000000000000000001100000011000000000000010000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000100000010000000001010000000001000000000000000100000000000000000100000000010000000000000000001000000000010000000000000000000000000000000000100001000000000000000010000000000000000000000010000000100000001100000000000000000000000110000000010000000000000000110000000000000001000000000000000000000000100000000000001000000000010000000000100100000000000000000100000000000010000000000000000000000000001000000000000000000000010000001000000000000000100000000110000000001000000000000001001000000010000000000000000000000100000000100000000100000000000000100000000000000000000000000000000000001000000000000001010000000100000010000000000000000000000000000000010000000000000000000000000000000000000000000000100000000000000101000000000010000000000000000000010000000000000000000000000000000000000000000010000000010000000000000010000000000000000000000000000000001000000000000000000000000000000000000000000000000001010000000010000000100000000000000000000000000000000010000000010000000000000000010000000000010000001000000000000000000000110000000000000110000000000100000000000000000001000000000000000010000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000001100000000000000000000000000000000100000000000000001000000000000000000000000000000000000
-10.564|-0.117400|90|False|SELL|48|0.533300|((TF_max(10,2) > TF_open(2))or(TF_high(9) < TF_high(5)))|{"name": "or", "children": [{"name": "(TF_max(10,2) > TF_open(2))"}, {"name": "(TF_high(9) < TF_high(5))"}]}|0000000010000010000000000000000001000000000000000001110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000110000000001000000010000000000010100000000000000000000000000000000000000010000000000000000000000011000000000000000000010000010000010000000000001000000000001000000000000010000100000000000000000101000000000000000000000000000000000000000001000000000100000000000000010000000000000000000000000000000100000000000000000000000000010000000000010000000000000000000000000000010000000000000000000000000000000000000000000000000111000000000000000000000100000000011000000000010000000000000011000000000000000000000000100000100000000000000000101000000000000000000000000000000000000010000000000000000000000000000000100001100000000000000000000000000000000000000000000000010000000000000100000000000010000000000000000001100000001000000000010000000010000100000001000001000000000000000000010000000000000000011000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000100000000100000000000000000000000000000000000000010000000000000000110000010000010000000000000000000000000000010000000000000000000000000100000011100010000001100000000000000000000000000000000000000000001000000000000000000000000000000000000000110000000000000000000000000000000000000000000000000100000000111000000100000000000000000000000000000000000000000000000000000000100000000000000000000010000010
-11.53|-0.116500|99|True|SELL|51|0.515200|((TF_high(5) < TF_open(2))and(TF_open(2) > TF_high(1)))|{"name": "and", "children": [{"name": "(TF_high(5) < TF_open(2))"}, {"name": "(TF_open(2) > TF_high(1))"}]}|0000000000000000000100000000000011000000000000000011000000100000000010000010000000000000011000000000000010000000000000001000000000000000000000000000000001000000000000000000000000000010000000001000000000001000000000000000000000000000000000100000000000000000000000000001000000000010000000001000000000000000010000000000000000000000000000010000000110000100001000000000000000000001000000000000000000000000100000000010000000000000001000000000000000000000000000000000000000010000000000010001000000000011010000010000000000010000000000000000000100000000000000000000000000000100000000000000000000000100000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000100000000000000000100000000000001000000010000000000000100000000100000001000100000010000000000001000000100000000000100000100000000000000000000000010001000000000000001100000000000000000000000000000000000000000000010000000000000100000100000000000000000000000000000000000000100000010000001000000000000000000000000000000000000010000000000001000000000000000000000000000000000000000010000000000000000000000000000100000000000000000000000000000001100000000010000010000000000000000000000110000001000000000000000000000000000000000000000000000000000000000000000000010000000000010000010000000000000000000000000000000010000000000000000000000000100000000110000000000000000000000000000100000000110000100000100000100010000010000000000101000000000000000000000000000000001000000000000000010000000010000000001000110
