############################################################### DATA TO FOLLOW ########################################
Result | Result per Trans | Trans Cnt | Signal Type | Strategy Type | Positive Trans Cnt | Positive Trans Pct | Eq in Str | JSON | Transaction Map
-12.124|-0.147900|82|False|SELL|48|0.585400|((TF_max(10,1) > TF_avg_open(3,2))or(TF_high(5) > TF_high(9)))|{"name": "or", "children": [{"name": "(TF_max(10,1) > TF_avg_open(3,2))"}, {"name": "(TF_high(5) > TF_high(9))"}]}|0000000000000010000000000000000001000000000000000001110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000110000000001000000100000000000010100000000000000000000000000000000000000000000000000000000000000001000010000000000000000000010000000000000000000000000000001000000000000000000100000000000000000101000000000000000000000000010000000000000001000000000100000000000001000000000000000000000000000000000100000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000111000010000000000100000000000000011000000000010000000000000010000000000000000000000000000000100000000000000000001000000000000000000000000000000000000010000000000010000000000000000000100001000000000000000000010000000000000000000000000000010000000000000100000000000010000000000000000001100000000000000000010000000010000100000001000000010000000000000000010000000000000000011000000000000000000000000000000000000000000110010000000000000000000000000000000010000000000000000000000000000000000000000100000000000000000000000000000000000000000000000011000000000000000110000010000000000000000000000000000000000010000000000000000000000000100000010100010000001000000000000000000000000000000000000000000001000000000000000000000000000000000000000110000000000000000000000000000000000000000000000000100000000111000000100000000000000000000000000000000000000000000000000000000100000000000000000000010000010
-11.975|-0.147800|81|False|SELL|54|0.666700|((TF_high(5) > TF_high(9))or(TF_max(7,2) > TF_low(1)))|{"name": "or", "children": [{"name": "(TF_high(5) > TF_high(9))"}, {"name": "(TF_max(7,2) > TF_low(1))"}]}|0000000000000010000000000000000000000010000000000001110000000100000000000000000000000000000000010000000001000000000000000000000000000000000000000000000000000000000000000000000110000001000000000100000000000010000000000000010000000000000000010000000000000000000000000000000000000001000000000000000000010000110000000000000000000000000000000000000000000000000000000000000110000000010000000000000000000000001000000001000000000000000000000000000000001100000000100000000000000110000000000000000000000000100000000000010000001000000000100000000000010000000000000000000000000000100000000000000000000010000000100000000000001000000000000000000000000000000000000011100000000001000000000000000000000000000110000000000000000000000000000001000000000000001000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000001000000000000000000000000000000001000000100000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000001000000001000000000000000000000000000000001000000000000000000000000110000000000110000000000000000000000000000011000000000000001000000000100000011000000000001100000000000000000000000000000000110000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000101000000110000000000000000000000000000000010000000000000000001000000001100000000000000000000011
-10.345|-0.130900|79|True|SELL|45|0.569600|((TF_high(9) > TF_high(5))and(TF_close(2) > TF_max(5,6)))|{"name": "and", "children": [{"name": "(TF_high(9) > TF_high(5))"}, {"name": "(TF_close(2) > TF_max(5,6))"}]}|0000000000000010000000000000000001000000000000000001110000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000110000001000000000101000000000010000000000000010000000000000000000000000001000000000000000000000000000000000000000000000000010000000000000000001100000000000000000000000000000000000000000000000110000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000110000000000000000000000000000000000000011000000000000000000000000000001000000000000000000000000000100000000000000000000011000000000000000000001010000000011000000000011000000000000011100000000000000000000000000000100000000100000000000000000000000000000001000000000000000000000000000000000000000000000010000000100000010000000000000000000000000000000001000000000000000000000100000000000000000000000000000000000000001100000000001000000000000000000001000000100000000000000000000000000000000000011000000001000000000000000000000000000000000000000000000000100000000000000000000010000000000000000000000000000000000000001000000000000000000000000000000000000000000000000001000000000000000110000000000001000000000000000000000000000011000000000000001000000000100000011000000000001110000000000000000000000000000000000000000000000000000000000000000000000000000000000110000000000000000000000000000000000000000000010000000000000111000000110000000000000000000000000000000000000000000000000000000000000000000000000000000000011
-10.082|-0.130900|77|True|SELL|42|0.545500|((TF_max(6,6) < TF_max(3,1))and((TF_high(9) > TF_high(5))and(TF_avg_open(1,7) < TF_open(10))))|{"name": "and", "children": [{"name": "(TF_max(6,6) < TF_max(3,1))"}, {"name": "and", "children": [{"name": "(TF_high(9) > TF_high(5))"}, {"name": "(TF_avg_open(1,7) < TF_open(10))"}]}]}|0000000010000010000000000000000001000001000000000001100000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110000000000000000110000000000010000000000000000000000000000000000000000011000000000000000000000100000000000000001000000000010000010000000000001000000000000000000000000010000100000000000000000100000000000000000000000000000000000000000000000000000000000000000011000000000000000000000000000000000100000000000000000000000000000000000000010000000000000000100000000000010000000000000000000000000000000000000000000000000110000010000000000000001100000000010000000000010000000000000011000000000000000000000000100000100000000000000000100000000000000000000000000000000000000100000000000010000000000000000000000001100000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000001000000001000000000010000000000000100000001000001000000000000000000000000000000000000011000000000000000000000000000000000000000000000010000000000000000000000000000000010000000000000000000000000000000000000001100000001100000000000000000000000000000000000000010000000000000000110000000000110000000000000000000000000000011000000000000000000000000100000010000000000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000110000000000000000000000000000000000000000001000000000000000110000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000010
9.523|0.125300|76|True|BUY|47|0.618400|((TF_max(3,1) < TF_open(6))and(TF_close(1) > TF_high(5)))|{"name": "and", "children": [{"name": "(TF_max(3,1) < TF_open(6))"}, {"name": "(TF_close(1) > TF_high(5))"}]}|0100000000000000000000100000000000000000010000000000001000000000100000000000000000000000000000000010000000001000000000000010000000000000000000000000000000000000000000000000000000100000001000000000100000000000100000000000000110000000000000000010000000000000000000000000000001100000010000000000000000000000000100000000000000000000000100000100000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000001000000000100000000000000000000000000000001000000001100000000000100000001000000000100000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000010000000000000000000000000110000000000001000000000000000000000000000000000000000000010000000000000001000000000000000000001000000000000000000000000010000001000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000010000000000000000000110000001000000000000000000010000000000000000000000000000000000000010000000011000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000011000000011000000000000000000000000000000010000000010000000000000001100000000001000000000100000000000000000000100000000000000001000000000000000110000100000011000000000000000001000000000000000100000000000000000000000000000000000000000000000000100000000000000000000000000000000000001000000000001000000000100000000100000000000000000000010000000000000000000000000000001000000000000000000000000000000
-10.813|-0.121500|89|True|SELL|50|0.561800|((TF_low(3) > TF_avg_open(10,9))and(TF_high(9) > TF_high(5)))|{"name": "and", "children": [{"name": "(TF_low(3) > TF_avg_open(10,9))"}, {"name": "(TF_high(9) > TF_high(5))"}]}|0000000000000010000100000000000001000001000000000001010000000100000000000000000000000000000000010000000001000000000000000000000000010000000000000000000000000000100000000000000100000000000000000010000000000000000000000000010000000000000000000000000000000000000000000000000100000010000000001000000000010000100000000000000000000000011000000000000000000000000000000000000000000000011000000000000000000000001000000000000000000000000000000010100000001000000000100000000000000100000001000000001000000000110000000000000000000000000000100000000000000000000000000000000000000000100000000000000000000111000010000000000000000000000000011000000000010001000000000010000000000000000000000000000000000000000100000000001000010000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000010001000000000100000000000010000000000000000001100000001000000000010000000010000100000001000000010100000000000000000000000000000000011000000001000000000000000100000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000010000000000000000100000010000110000000000000000101000000000010000000000000001100000000100000011000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110000000000000000000000000000000000000000000000000000000000111000000100000000000000000000000000000000000000000000000000000000000001000000000000000000000010
-10.564|-0.117400|90|False|SELL|48|0.533300|((TF_max(10,2) > TF_open(2))or(TF_high(9) < TF_high(5)))|{"name": "or", "children": [{"name": "(TF_max(10,2) > TF_open(2))"}, {"name": "(TF_high(9) < TF_high(5))"}]}|0000000010000010000000000000000001000000000000000001110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000110000000001000000010000000000010100000000000000000000000000000000000000010000000000000000000000011000000000000000000010000010000010000000000001000000000001000000000000010000100000000000000000101000000000000000000000000000000000000000001000000000100000000000000010000000000000000000000000000000100000000000000000000000000010000000000010000000000000000000000000000010000000000000000000000000000000000000000000000000111000000000000000000000100000000011000000000010000000000000011000000000000000000000000100000100000000000000000101000000000000000000000000000000000000010000000000000000000000000000000100001100000000000000000000000000000000000000000000000010000000000000100000000000010000000000000000001100000001000000000010000000010000100000001000001000000000000000000010000000000000000011000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000100000000100000000000000000000000000000000000000010000000000000000110000010000010000000000000000000000000000010000000000000000000000000100000011100010000001100000000000000000000000000000000000000000001000000000000000000000000000000000000000110000000000000000000000000000000000000000000000000100000000111000000100000000000000000000000000000000000000000000000000000000100000000000000000000010000010
-11.53|-0.116500|99|True|SELL|51|0.515200|((TF_high(5) < TF_open(2))and(TF_open(2) > TF_high(1)))|{"name": "and", "children": [{"name": "(TF_high(5) < TF_open(2))"}, {"name": "(TF_open(2) > TF_high(1))"}]}|0000000000000000000100000000000011000000000000000011000000100000000010000010000000000000011000000000000010000000000000001000000000000000000000000000000001000000000000000000000000000010000000001000000000001000000000000000000000000000000000100000000000000000000000000001000000000010000000001000000000000000010000000000000000000000000000010000000110000100001000000000000000000001000000000000000000000000100000000010000000000000001000000000000000000000000000000000000000010000000000010001000000000011010000010000000000010000000000000000000100000000000000000000000000000100000000000000000000000100000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000100000000000000000100000000000001000000010000000000000100000000100000001000100000010000000000001000000100000000000100000100000000000000000000000010001000000000000001100000000000000000000000000000000000000000000010000000000000100000100000000000000000000000000000000000000100000010000001000000000000000000000000000000000000010000000000001000000000000000000000000000000000000000010000000000000000000000000000100000000000000000000000000000001100000000010000010000000000000000000000110000001000000000000000000000000000000000000000000000000000000000000000000010000000000010000010000000000000000000000000000000010000000000000000000000000100000000110000000000000000000000000000100000000110000100000100000100010000010000000000101000000000000000000000000000000001000000000000000010000000010000000001000110
-9.254|-0.115700|80|True|SELL|45|0.562500|((TF_low(1) > TF_max(7,6))and(TF_open(4) < TF_max(9,3)))|{"name": "and", "children": [{"name": "(TF_low(1) > TF_max(7,6))"}, {"name": "(TF_open(4) < TF_max(9,3))"}]}|0000000000000010000000000000000000000000000000000001110000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010000000000000000111000000000000000100000000001110000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000010000000000000010000000000000000000000000000000000000000000001100001110000000000000000000000000000000000000000001100000000000000001010000000000000000000000000000000000001110000000000000000000000000000000000000110000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011100000000000000000000000000000000000001000000000000000000000001000000001000000000000000000000000000000000000000000000110000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000111000000000000010000000000000000000000000001000011000000000000000000000000000000000000000000000100000000000000000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101000011000000100000000000000000000000000000000000000000000000000000000000111000000000000000000000000000000000000000111000000000000111000000000100000001000000000001100000000000000000000000000000000000000000000000001000001010010000000000000000000000000000000000000000000000000000000000000000000000000000000000101000001110000000000000000000000000000000000000000001100000000000000000000000000000000000000000
9.016|0.115600|78|True|BUY|47|0.602600|(((TF_max(8,4) < TF_avg_open(1,2))and(60 > TF_min(1,10)))and(TF_high(5) > TF_max(2,2)))|{"name": "and", "children": [{"name": "and", "children": [{"name": "(TF_max(8,4) < TF_avg_open(1,2))"}, {"name": "(60 > TF_min(1,10))"}]}, {"name": "(TF_high(5) > TF_max(2,2))"}]}|0000000000000000000000000000000000000000000000000000000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000111000000011100000000000000000011000001000000000000000000000000000000000000000000000000000000000011000000000000000000000000000000000100000000000000000000000000000000000000000010000000001000000001100000000000000000000000110000000001000000000000001100000000000000000000000000000000000000001000000000000000100000000000000000111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011100000000000000000000000010000011000000000000001000000000000110000000000000000000000010000010000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000011000000000000000000000000000000100000000000000000000000000000000000000000100000000000001100001100000000000000000100000000110000110000000100000000000000000000000000000000000000000001000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000100000001000000000000000000000000000000000010000000000000000000000000000000100000110000000000000000000000000000000000000110000000000000000000000011000000000011000000000000000000000000000000000000000000000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000011000000000000000000000000000000000000000000000000000000000000001000000000000000000000011000
