############################################################### DATA TO FOLLOW ########################################
Result | Result per Trans | Trans Cnt | Signal Type | Strategy Type | Positive Trans Cnt | Positive Trans Pct | Eq in Str | JSON | Transaction Map
-12.124|-0.147900|82|False|SELL|48|0.585400|((TF_max(10,1) > TF_avg_open(3,2))or(TF_high(5) > TF_high(9)))|{"name": "or", "children": [{"name": "(TF_max(10,1) > TF_avg_open(3,2))"}, {"name": "(TF_high(5) > TF_high(9))"}]}|0000000000000010000000000000000001000000000000000001110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000110000000001000000100000000000010100000000000000000000000000000000000000000000000000000000000000001000010000000000000000000010000000000000000000000000000001000000000000000000100000000000000000101000000000000000000000000010000000000000001000000000100000000000001000000000000000000000000000000000100000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000111000010000000000100000000000000011000000000010000000000000010000000000000000000000000000000100000000000000000001000000000000000000000000000000000000010000000000010000000000000000000100001000000000000000000010000000000000000000000000000010000000000000100000000000010000000000000000001100000000000000000010000000010000100000001000000010000000000000000010000000000000000011000000000000000000000000000000000000000000110010000000000000000000000000000000010000000000000000000000000000000000000000100000000000000000000000000000000000000000000000011000000000000000110000010000000000000000000000000000000000010000000000000000000000000100000010100010000001000000000000000000000000000000000000000000001000000000000000000000000000000000000000110000000000000000000000000000000000000000000000000100000000111000000100000000000000000000000000000000000000000000000000000000100000000000000000000010000010
-10.564|-0.117400|90|False|SELL|48|0.533300|((TF_max(10,2) > TF_open(2))or(TF_high(9) < TF_high(5)))|{"name": "or", "children": [{"name": "(TF_max(10,2) > TF_open(2))"}, {"name": "(TF_high(9) < TF_high(5))"}]}|0000000010000010000000000000000001000000000000000001110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000110000000001000000010000000000010100000000000000000000000000000000000000010000000000000000000000011000000000000000000010000010000010000000000001000000000001000000000000010000100000000000000000101000000000000000000000000000000000000000001000000000100000000000000010000000000000000000000000000000100000000000000000000000000010000000000010000000000000000000000000000010000000000000000000000000000000000000000000000000111000000000000000000000100000000011000000000010000000000000011000000000000000000000000100000100000000000000000101000000000000000000000000000000000000010000000000000000000000000000000100001100000000000000000000000000000000000000000000000010000000000000100000000000010000000000000000001100000001000000000010000000010000100000001000001000000000000000000010000000000000000011000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000100000000100000000000000000000000000000000000000010000000000000000110000010000010000000000000000000000000000010000000000000000000000000100000011100010000001100000000000000000000000000000000000000000001000000000000000000000000000000000000000110000000000000000000000000000000000000000000000000100000000111000000100000000000000000000000000000000000000000000000000000000100000000000000000000010000010
-11.53|-0.116500|99|True|SELL|51|0.515200|((TF_high(5) < TF_open(2))and(TF_open(2) > TF_high(1)))|{"name": "and", "children": [{"name": "(TF_high(5) < TF_open(2))"}, {"name": "(TF_open(2) > TF_high(1))"}]}|0000000000000000000100000000000011000000000000000011000000100000000010000010000000000000011000000000000010000000000000001000000000000000000000000000000001000000000000000000000000000010000000001000000000001000000000000000000000000000000000100000000000000000000000000001000000000010000000001000000000000000010000000000000000000000000000010000000110000100001000000000000000000001000000000000000000000000100000000010000000000000001000000000000000000000000000000000000000010000000000010001000000000011010000010000000000010000000000000000000100000000000000000000000000000100000000000000000000000100000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000100000000000000000100000000000001000000010000000000000100000000100000001000100000010000000000001000000100000000000100000100000000000000000000000010001000000000000001100000000000000000000000000000000000000000000010000000000000100000100000000000000000000000000000000000000100000010000001000000000000000000000000000000000000010000000000001000000000000000000000000000000000000000010000000000000000000000000000100000000000000000000000000000001100000000010000010000000000000000000000110000001000000000000000000000000000000000000000000000000000000000000000000010000000000010000010000000000000000000000000000000010000000000000000000000000100000000110000000000000000000000000000100000000110000100000100000100010000010000000000101000000000000000000000000000000001000000000000000010000000010000000001000110
-12.378|-0.115700|107|False|SELL|58|0.542100|((TF_high(9) < TF_high(5))or(TF_open(2) < TF_high(10)))|{"name": "or", "children": [{"name": "(TF_high(9) < TF_high(5))"}, {"name": "(TF_open(2) < TF_high(10))"}]}|0000000010000010000000000000000001000000000000000001110000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000100000000000000110000000001000000010000000000010100000000000000000000000000000000000000010000000000000000000000011000010000000000000010000010000010000000000001000000000001000000000000010000100000000000000000101000000010000000000000000000000000000000001000000000100000000000000010000000000000000000000000000000100000000000000000000000000010000000000010000000000000000100000000000010000000000000000000000000000100000000000000000000111000010000000000100000100000000011000000000010000000000000011000000000000000000000000100000100000000100000000101000000000000000000000000000000000000010000000000010000000000000000010100001100000010000000000010000000000000000000000000000010000000000000100000000000010000000000000000001100000001000000000011000000010000100000001000001010000000000000000010000000000000000011000000000000000000000000000000000000000000010010000000000000000000000000000000010000000000000000000000000000000000000000100000000100000000000000000000000000000000000000011000000000000000110000010000010000000000000000000000000000010000000000000000000000000100000011100010000001100000000000000000000000000000000000000000001000000000000000000000000000000000000000110000000000000000000000000000000000000000000000000100000000111000000100000000000000000000000000000000000000000000000000000000100000000000000000000010000010
-9.254|-0.115700|80|True|SELL|45|0.562500|((TF_low(1) > TF_max(7,6))and(TF_open(4) < TF_max(9,3)))|{"name": "and", "children": [{"name": "(TF_low(1) > TF_max(7,6))"}, {"name": "(TF_open(4) < TF_max(9,3))"}]}|0000000000000010000000000000000000000000000000000001110000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010000000000000000111000000000000000100000000001110000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000010000000000000010000000000000000000000000000000000000000000001100001110000000000000000000000000000000000000000001100000000000000001010000000000000000000000000000000000001110000000000000000000000000000000000000110000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011100000000000000000000000000000000000001000000000000000000000001000000001000000000000000000000000000000000000000000000110000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000111000000000000010000000000000000000000000001000011000000000000000000000000000000000000000000000100000000000000000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101000011000000100000000000000000000000000000000000000000000000000000000000111000000000000000000000000000000000000000111000000000000111000000000100000001000000000001100000000000000000000000000000000000000000000000001000001010010000000000000000000000000000000000000000000000000000000000000000000000000000000000101000001110000000000000000000000000000000000000000001100000000000000000000000000000000000000000
9.016|0.115600|78|True|BUY|47|0.602600|(((TF_max(8,4) < TF_avg_open(1,2))and(60 > TF_min(1,10)))and(TF_high(5) > TF_max(2,2)))|{"name": "and", "children": [{"name": "and", "children": [{"name": "(TF_max(8,4) < TF_avg_open(1,2))"}, {"name": "(60 > TF_min(1,10))"}]}, {"name": "(TF_high(5) > TF_max(2,2))"}]}|0000000000000000000000000000000000000000000000000000000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000111000000011100000000000000000011000001000000000000000000000000000000000000000000000000000000000011000000000000000000000000000000000100000000000000000000000000000000000000000010000000001000000001100000000000000000000000110000000001000000000000001100000000000000000000000000000000000000001000000000000000100000000000000000111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011100000000000000000000000010000011000000000000001000000000000110000000000000000000000010000010000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000011000000000000000000000000000000100000000000000000000000000000000000000000100000000000001100001100000000000000000100000000110000110000000100000000000000000000000000000000000000000001000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000100000001000000000000000000000000000000000010000000000000000000000000000000100000110000000000000000000000000000000000000110000000000000000000000011000000000011000000000000000000000000000000000000000000000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000011000000000000000000000000000000000000000000000000000000000000001000000000000000000000011000
-11.682|-0.113400|103|False|SELL|52|0.504900|(((TF_low(6) > 122)and(TF_open(2) < TF_high(1)))or(TF_high(5) > TF_close(3)))|{"name": "or", "children": [{"name": "and", "children": [{"name": "(TF_low(6) > 122)"}, {"name": "(TF_open(2) < TF_high(1))"}]}, {"name": "(TF_high(5) > TF_close(3))"}]}|0000000000000000000100000000000011000000000000000011000000100000000010000010000000000000011000000000000010000000000000001000000000000000000000000000000001000000000000000000000000000010000000001000000000001000000000000000000000000000000000100000000010000000000000000001000000000010000000001000000000000000010000000000000000000000000000010000000110000100001000000000000000000001000000000000000000000000100000000010000000000000001000000000000000000000000000000000000000010000000000010001000000000010010000110000000000010000000000000000000100000000000000000000000000000100000000000000000000000100000000000000000000000000000000100000000000000000000000000000000000000000100000000000000000100000000000010000100000000000001000000010000000000000100000000100000001000100000010000000000001000000100000000000100000100000000000000000000000010001000000000000001100000000000000000000000000000000000000000000010000000000000100000100000000000000000000000000000000000000100000010000001000000000000000000000000000000000000010000000000001000000000000000000000000000100000000000010000000000000000000000000000100000000000000000000000000000001100000000010000010000000000000000000000110000001000000000000000000000000000000000000000000000000000000000000000000010000000000000000010000000000000000000000000000000010000000000000000000000000100000000110000000000000000000000010000100000000110000100000100000100010000010000000000001000000000000000000000000000000001000000000000000010000000010000000001100110
-9.619|-0.113200|85|True|SELL|46|0.541200|((TF_close(4) < TF_open(3))and(TF_open(2) > TF_max(5,7)))|{"name": "and", "children": [{"name": "(TF_close(4) < TF_open(3))"}, {"name": "(TF_open(2) > TF_max(5,7))"}]}|0000000000000010000000000000000011100000000000000011100000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000010000000001000000000001000000001100011000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000010001000000000000000000000000000000000000010000000000000000001000000000000000000000000100000000001000000000000000100000000000000000000000000000000000000011000000000000000000000000010000000001001000000000000000000000000000100010000000000000000000000000000000000000000000000000010000000000000000000000100000000110000000010100000000010000100000000001000000000000000000000000000011000000000100000000000000000100000000000000000000000000000000001000000000000011000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000011010000000000000010000000000000000000000000100000110000001000000000000000000000000000000000000011000001010000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000010000000000000000000100000000000000000000000000000000000000000000000000000000000110000000000010000000000000000000000000011000000000110101110000000001000000000000000000001100000000000000010000000000000000000000000000000000000000001000010000000000000000000000000000000000000000000000000000000000000000000000000000100100000000100000000000000000000000000000000000000000001100000000000000000000000000000000000000000
8.914|0.112800|79|False|BUY|52|0.658200|((TF_close(5) > TF_close(3))or(TF_open(5) < TF_max(2,1)))|{"name": "or", "children": [{"name": "(TF_close(5) > TF_close(3))"}, {"name": "(TF_open(5) < TF_max(2,1))"}]}|0000000000000000000000000010000000000000001001000000000100000000000000010000000000001000000000000000000000000000000000000001000000000000000000100000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000010000000000000000000000010000000000000000000000000000000000000001000000010010000010001000100000000000000000000010110000000000000000000000000100000000000000000000000000000000000000000000000000000000000000010000000100100000010000000000001000010000100000001000000000000100010000001000000000000000100000000100000010100000000000000000000000000000000000100000000000000000001000100000000000000001000000000000001000000000000000100000000000000000000000000000000010000000000000000000100000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000001000010000000000000001000000000000000000000000001001001000000000000000000000000000000000000000000000000000000000000001000000000000000001000100000000001100000000001000000000000000000100000001000000100000000100000000000010000000000000000000000000000000010000010000000100100000000000000001000000000000000000000000000000000000000000000000000000010000000000000001001000000000000000000000100000001000000000000000000000000000000100000000000000000001000000000001000000000000000000100000000010000000000000000000
8.552|0.112500|76|True|BUY|54|0.710500|((TF_open(7) < TF_avg_open(2,2))and(TF_high(2) < TF_close(6)))|{"name": "and", "children": [{"name": "(TF_open(7) < TF_avg_open(2,2))"}, {"name": "(TF_high(2) < TF_close(6))"}]}|0000000000010000000000000000000000000000001000000100000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000010000000011000000000000000000010000000000000000000000000100000000000000001000000000000000000000011000000000000000000010000000000001100000000000000000000010000000000000000000000000000000000000001000000000000000000000000100000000001000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000110000000000001000000000010000000000000000000000000000000000000000000000000000000000000000000001000000000000000100000000000000001000000000000001000000000000100000000000000000000000100000000000000000000000000000001100000000000000100000001000000110000000000000000000000000000001000000100000000000000000010000000000000000000000000000100000000000000000000000000000000000000000000001100000000000000000000000000100000000000000000001000000000000000000010000000000001000000000000000000000000000000000000000000010000000000000000000000000000000000000000010000000000010000000000000000000000000001100000001010000000000000000000000100000000000000001000000000100000000000010000000000000000000000100000000000000000000000000000000000000000000001100010000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000010000001000000000000000000000000010000000000000000100000000010000000000001000000000000000000000000000000001000000000000000001100000000000000000000010000
